t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.021,start,0,0.000,0.000,17.015,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.051,pose,0,0.380,0.000,17.015,,1,0.0500,0,-1.4700,1,0.0274,0,-1.4700,0.363,0.400
2.072,pose,0,0.760,0.000,17.015,,1,0.0500,0,-1.0900,1,0.0127,0,-1.0900,0.387,0.400
3.110,pose,0,1.140,0.000,17.015,,1,0.0500,0,-0.7100,1,0.0370,0,-0.7100,0.363,0.400
4.136,pose,0,1.520,0.000,17.015,,1,0.0500,0,-0.3300,1,0.0317,0,-0.3300,0.368,0.400
5.052,finish,0,1.860,0.000,17.015,dur=5.03s,1,0.0500,1,0.0100,1,0.0168,1,0.0100,0.373,0.400
5.107,start,1,1.860,0.000,34.015,new goal window,1,0.0500,0,-inf,1,0.0168,0,-inf,0.000,0.400
5.162,pose,1,1.880,-0.001,34.015,,1,0.0500,0,-2.1937,1,0.0269,0,-2.1937,0.362,0.400
6.199,pose,1,2.243,-0.108,34.015,,1,0.0500,0,-1.8207,1,0.0289,0,-1.8207,0.371,0.400
7.209,pose,1,2.586,-0.271,34.015,,1,0.0500,0,-1.4409,1,0.0084,0,-1.4409,0.363,0.400
8.219,pose,1,2.924,-0.444,34.015,,1,0.0500,0,-1.0609,1,0.0071,0,-1.0609,0.385,0.400
9.239,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.255,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.272,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.300,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.326,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.352,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.378,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.396,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.428,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.453,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.471,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.496,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.524,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.540,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.561,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.587,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.600,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.621,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.647,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
28.662,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
29.670,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
30.684,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
31.708,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
32.728,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
33.746,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.021,miss,1,2.995,-0.481,34.015,deadline,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.021,start,2,2.995,-0.481,54.015,new goal window,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
34.784,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
35.797,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
36.823,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
37.834,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
38.852,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
39.876,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
40.879,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
41.899,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
42.925,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
43.937,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
44.962,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
45.986,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
46.997,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
48.004,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
49.029,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
50.055,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
51.080,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
52.109,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
53.126,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.031,miss,2,2.995,-0.481,54.015,deadline,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.031,idle,,2.995,-0.481,,,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.031,end,,,,,all done,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,,
