t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.013,0.000,0.013,Deviation: 0.013s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.028,pose,A_leg0,0.380,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.4700,1,0.0129,0,-1.4700,0.363,0.400
2.061,pose,A_leg0,0.760,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.0900,1,0.0111,0,-1.0900,0.363,0.400
3.082,pose,A_leg0,1.140,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.7100,1,0.0046,0,-0.7100,0.392,0.400
4.109,pose,A_leg0,1.520,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.3300,1,0.0049,0,-0.3300,0.364,0.400
5.028,task_complete,A_leg0,1.860,0.000,0.013,0.000,0.013,Completed in 5.03s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0231,1,0.0100,0.363,0.400
5.135,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 8.2s until scheduled start,1,0.0500,1,0.0100,1,0.0231,1,0.0100,0.000,0.400
6.163,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.189,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.218,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.236,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 4.1s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.267,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.288,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.318,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.907,task_start,A_leg1,1.860,0.000,13.369,12.907,0.462,Deviation: 0.462s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.342,pose,A_leg1,1.939,-0.013,13.369,12.907,0.462,,1,0.0500,0,-2.1355,1,0.0123,0,-2.1355,0.182,0.200
14.365,pose,A_leg1,2.116,-0.081,13.369,12.907,0.462,,1,0.0500,0,-1.9463,1,0.0095,0,-1.9463,0.182,0.200
15.387,pose,A_leg1,2.288,-0.162,13.369,12.907,0.462,,1,0.0500,0,-1.7563,1,0.0027,0,-1.7563,0.197,0.200
16.407,pose,A_leg1,2.458,-0.246,13.369,12.907,0.462,,1,0.0500,0,-1.5663,1,0.0012,0,-1.5663,0.184,0.200
17.439,pose,A_leg1,2.629,-0.329,13.369,12.907,0.462,,1,0.0500,0,-1.3763,1,0.0057,0,-1.3763,0.182,0.200
18.458,pose,A_leg1,2.800,-0.413,13.369,12.907,0.462,,1,0.0500,0,-1.1863,1,0.0021,0,-1.1863,0.197,0.200
19.484,pose,A_leg1,2.970,-0.496,13.369,12.907,0.462,,1,0.0500,0,-0.9963,1,0.0005,0,-0.9963,0.199,0.200
20.506,pose,A_leg1,3.181,-0.599,13.369,12.907,0.462,,1,0.0500,0,-0.7613,1,0.0092,0,-0.7613,0.282,0.300
21.524,pose,A_leg1,3.437,-0.725,13.369,12.907,0.462,,1,0.0500,0,-0.4763,1,0.0087,0,-0.4763,0.272,0.300
22.552,pose,A_leg1,3.693,-0.850,13.369,12.907,0.462,,1,0.0500,0,-0.1913,1,0.0083,0,-0.1913,0.292,0.300
23.262,task_complete,A_leg1,3.869,-0.936,13.369,12.907,0.462,Completed in 10.36s (scheduled: 14.59s),1,0.0500,1,0.0037,1,0.0106,1,0.0037,0.272,0.300
23.589,waiting,A_leg2,3.869,-0.936,27.961,,,Waiting 4.4s until scheduled start,1,0.0500,1,0.0037,1,0.3000,1,0.0037,0.000,0.300
24.609,waiting,A_leg2,3.869,-0.936,27.961,,,Waiting 3.4s until scheduled start,1,0.0500,1,0.0037,1,0.3000,1,0.0037,0.000,0.300
25.622,waiting,A_leg2,3.869,-0.936,27.961,,,Waiting 2.3s until scheduled start,1,0.0500,1,0.0037,1,0.3000,1,0.0037,0.000,0.300
26.662,waiting,A_leg2,3.869,-0.936,27.961,,,Waiting 1.3s until scheduled start,1,0.0500,1,0.0037,1,0.3000,1,0.0037,0.000,0.300
27.464,task_start,A_leg2,3.869,-0.936,27.961,27.464,0.497,Deviation: 0.497s,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
27.679,pose,A_leg2,3.925,-0.956,27.961,27.464,0.497,,1,0.0500,0,-2.3848,1,0.0078,0,-2.3848,0.272,0.300
28.699,pose,A_leg2,4.200,-0.913,27.961,27.464,0.497,,1,0.0500,0,-2.1384,1,0.0107,0,-2.1384,0.289,0.300
28.879,end,,,,,,,Execution complete,,,,,,,,,,
