t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; plan-aware runtime (EDF+Fence+STL),,,,,,,,,,
0.005,start,0,0.000,0.000,17.018,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.019,pose,0,0.380,0.000,17.018,,1,0.0500,0,-1.4700,1,0.0063,0,-1.4700,0.389,0.400
2.047,pose,0,0.760,0.000,17.018,,1,0.0500,0,-1.0900,1,0.0138,0,-1.0900,0.363,0.400
3.069,pose,0,1.140,0.000,17.018,,1,0.0500,0,-0.7100,1,0.0106,0,-0.7100,0.362,0.400
4.100,pose,0,1.520,0.000,17.018,,1,0.0500,0,-0.3300,1,0.0232,0,-0.3300,0.363,0.400
5.012,finish,0,1.860,0.000,17.018,dur=5.01s,1,0.0500,1,0.0100,1,0.0082,1,0.0082,0.379,0.400
5.067,start,1,1.860,0.000,34.018,new goal window,1,0.0500,0,-inf,1,0.0082,0,-inf,0.000,0.400
5.117,pose,1,1.880,-0.001,34.018,,1,0.0500,0,-2.1937,1,0.0040,0,-2.1937,0.396,0.400
6.133,pose,1,2.243,-0.108,34.018,,1,0.0500,0,-1.8207,1,0.0064,0,-1.8207,0.363,0.400
7.166,pose,1,2.586,-0.271,34.018,,1,0.0500,0,-1.4409,1,0.0045,0,-1.4409,0.363,0.400
8.193,pose,1,2.924,-0.444,34.018,,1,0.0500,0,-1.0609,1,0.0036,0,-1.0609,0.363,0.400
9.213,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.230,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.250,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.272,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.299,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.318,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.346,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.359,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.380,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.409,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.442,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.463,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.492,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.513,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.528,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.540,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.557,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.582,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.609,pose,1,2.995,-0.481,34.018,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
