t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.113,start,0,0.000,0.000,17.082,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.032,pose,0,0.340,0.000,17.082,,1,0.0500,0,-1.5100,1,0.0167,0,-1.5100,0.363,0.400
2.051,pose,0,0.720,0.000,17.082,,1,0.0500,0,-1.1300,1,0.0233,0,-1.1300,0.363,0.400
3.062,pose,0,1.100,0.000,17.082,,1,0.0500,0,-0.7500,1,0.0082,0,-0.7500,0.363,0.400
4.081,pose,0,1.480,0.000,17.082,,1,0.0500,0,-0.3700,1,0.0034,0,-0.3700,0.373,0.400
5.107,finish,0,1.860,0.000,17.082,dur=4.99s,1,0.0500,1,0.0100,1,0.0298,1,0.0100,0.363,0.400
5.107,pose,0,1.860,0.000,17.082,,1,0.0500,1,0.0100,1,0.0298,1,0.0100,0.363,0.400
5.161,start,1,1.860,0.000,34.082,new goal window,1,0.0500,0,-inf,1,0.0298,0,-inf,0.000,0.400
6.122,pose,1,2.206,-0.092,34.082,,1,0.0500,0,-1.8607,1,0.0017,0,-1.8607,0.376,0.400
7.129,pose,1,2.550,-0.254,34.082,,1,0.0500,0,-1.4809,1,0.0014,0,-1.4809,0.367,0.400
8.144,pose,1,2.889,-0.426,34.082,,1,0.0500,0,-1.1009,1,0.0095,0,-1.1009,0.369,0.400
9.153,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.172,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.188,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.194,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.214,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.230,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.239,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.259,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.278,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.291,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.303,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.322,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.339,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.354,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.367,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.385,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.398,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.418,pose,1,2.995,-0.481,34.082,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.262,end,,,,,all done,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,,
