t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.013,0.000,0.013,Deviation: 0.013s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.022,pose,A_leg0,0.380,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.4700,1,0.0023,0,-1.4700,0.390,0.400
2.038,pose,A_leg0,0.760,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.0900,1,0.0036,0,-1.0900,0.393,0.400
3.060,pose,A_leg0,1.140,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.7100,1,0.0074,0,-0.7100,0.363,0.400
4.097,pose,A_leg0,1.520,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.3300,1,0.0366,0,-0.3300,0.363,0.400
5.018,task_complete,A_leg0,1.860,0.000,0.013,0.000,0.013,Completed in 5.02s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0055,1,0.0055,0.394,0.400
5.124,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 8.2s until scheduled start,1,0.0500,1,0.0100,1,0.0055,1,0.0055,0.000,0.400
6.157,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.185,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.215,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.242,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 4.1s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.263,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.288,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.317,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.917,task_start,A_leg1,1.860,0.000,13.369,12.917,0.452,Deviation: 0.452s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.354,pose,A_leg1,1.939,-0.013,13.369,12.917,0.452,,1,0.0500,0,-2.1355,1,0.0172,0,-2.1355,0.183,0.200
14.382,pose,A_leg1,2.116,-0.081,13.369,12.917,0.452,,1,0.0500,0,-1.9463,1,0.0017,0,-1.9463,0.184,0.200
15.408,pose,A_leg1,2.288,-0.162,13.369,12.917,0.452,,1,0.0500,0,-1.7563,1,0.0021,0,-1.7563,0.181,0.200
16.439,pose,A_leg1,2.458,-0.246,13.369,12.917,0.452,,1,0.0500,0,-1.5663,1,0.0124,0,-1.5663,0.181,0.200
