t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.013,0.000,0.013,Deviation: 0.013s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.021,pose,A_leg0,0.380,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.4700,1,0.0271,0,-1.4700,0.363,0.400
2.055,pose,A_leg0,0.760,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.0900,1,0.0367,0,-1.0900,0.363,0.400
3.086,pose,A_leg0,1.140,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.7100,1,0.0222,0,-0.7100,0.378,0.400
4.106,pose,A_leg0,1.520,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.3300,1,0.0182,0,-0.3300,0.363,0.400
5.024,task_complete,A_leg0,1.860,0.000,0.013,0.000,0.013,Completed in 5.02s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0128,1,0.0100,0.363,0.400
5.132,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 8.2s until scheduled start,1,0.0500,1,0.0100,1,0.0367,1,0.0100,0.000,0.400
6.159,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.180,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.208,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.235,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 4.1s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.251,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.263,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.281,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.870,task_start,A_leg1,1.860,0.000,13.369,12.870,0.499,Deviation: 0.499s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.297,pose,A_leg1,1.939,-0.013,13.369,12.870,0.499,,1,0.0500,0,-2.1355,1,0.0023,0,-2.1355,0.181,0.200
14.330,pose,A_leg1,2.116,-0.081,13.369,12.870,0.499,,1,0.0500,0,-1.9463,1,0.0156,0,-1.9463,0.182,0.200
15.367,pose,A_leg1,2.288,-0.162,13.369,12.870,0.499,,1,0.0500,0,-1.7563,1,0.0102,0,-1.7563,0.188,0.200
16.397,pose,A_leg1,2.458,-0.246,13.369,12.870,0.499,,1,0.0500,0,-1.5663,1,0.0027,0,-1.5663,0.182,0.200
17.426,pose,A_leg1,2.629,-0.329,13.369,12.870,0.499,,1,0.0500,0,-1.3763,1,0.0118,0,-1.3763,0.182,0.200
18.447,pose,A_leg1,2.800,-0.413,13.369,12.870,0.499,,1,0.0500,0,-1.1863,1,0.0030,0,-1.1863,0.197,0.200
18.862,end,,,,,,,Execution complete,,,,,,,,,,
