t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.026,0.000,0.026,Deviation: 0.026s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.031,pose,A_leg0,0.380,0.000,0.026,0.000,0.026,,1,0.0500,0,-1.4700,1,0.0077,0,-1.4700,0.363,0.400
2.042,pose,A_leg0,0.760,0.000,0.026,0.000,0.026,,1,0.0500,0,-1.0900,1,0.0065,0,-1.0900,0.393,0.400
3.067,pose,A_leg0,1.140,0.000,0.026,0.000,0.026,,1,0.0500,0,-0.7100,1,0.0138,0,-0.7100,0.363,0.400
4.088,pose,A_leg0,1.520,0.000,0.026,0.000,0.026,,1,0.0500,0,-0.3300,1,0.0087,0,-0.3300,0.363,0.400
5.000,task_complete,A_leg0,1.860,0.000,0.026,0.000,0.026,Completed in 5.00s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0075,1,0.0075,0.392,0.400
5.110,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 8.3s until scheduled start,1,0.0500,1,0.0100,1,0.0083,1,0.0083,0.000,0.400
6.135,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.166,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.186,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.222,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 4.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.245,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.268,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.289,waiting,A_leg1,1.860,0.000,13.382,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.882,task_start,A_leg1,1.860,0.000,13.382,12.882,0.499,Deviation: 0.499s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.311,pose,A_leg1,1.939,-0.013,13.382,12.882,0.499,,1,0.0500,0,-2.1355,1,0.0034,0,-2.1355,0.185,0.200
14.343,pose,A_leg1,2.116,-0.081,13.382,12.882,0.499,,1,0.0500,0,-1.9463,1,0.0063,0,-1.9463,0.184,0.200
15.374,pose,A_leg1,2.288,-0.162,13.382,12.882,0.499,,1,0.0500,0,-1.7563,1,0.0124,0,-1.7563,0.182,0.200
16.397,pose,A_leg1,2.458,-0.246,13.382,12.882,0.499,,1,0.0500,0,-1.5663,1,0.0056,0,-1.5663,0.186,0.200
17.430,pose,A_leg1,2.629,-0.329,13.382,12.882,0.499,,1,0.0500,0,-1.3763,1,0.0085,0,-1.3763,0.184,0.200
18.456,pose,A_leg1,2.800,-0.413,13.382,12.882,0.499,,1,0.0500,0,-1.1863,1,0.0035,0,-1.1863,0.196,0.200
19.462,pose,A_leg1,2.970,-0.496,13.382,12.882,0.499,,1,0.0500,0,-0.9963,1,0.0040,0,-0.9963,0.185,0.200
