t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; plan-aware runtime (EDF+Fence+STL),,,,,,,,,,
0.021,start,0,0.000,0.000,17.025,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.040,pose,0,0.380,0.000,17.025,,1,0.0500,0,-1.4700,1,0.0014,0,-1.4700,0.367,0.400
2.062,pose,0,0.760,0.000,17.025,,1,0.0500,0,-1.0900,1,0.0120,0,-1.0900,0.362,0.400
3.093,pose,0,1.140,0.000,17.025,,1,0.0500,0,-0.7100,1,0.0370,0,-0.7100,0.363,0.400
4.119,pose,0,1.520,0.000,17.025,,1,0.0500,0,-0.3300,1,0.0058,0,-0.3300,0.387,0.400
5.036,finish,0,1.860,0.000,17.025,dur=5.02s,1,0.0500,1,0.0100,1,0.0160,1,0.0100,0.363,0.400
5.092,start,1,1.860,0.000,34.025,new goal window,1,0.0500,0,-inf,1,0.0160,0,-inf,0.000,0.400
5.143,pose,1,1.880,-0.001,34.025,,1,0.0500,0,-2.1937,1,0.0131,0,-2.1937,0.387,0.400
6.174,pose,1,2.243,-0.108,34.025,,1,0.0500,0,-1.8207,1,0.0237,0,-1.8207,0.368,0.400
7.200,pose,1,2.586,-0.271,34.025,,1,0.0500,0,-1.4409,1,0.0350,0,-1.4409,0.363,0.400
8.215,pose,1,2.924,-0.444,34.025,,1,0.0500,0,-1.0609,1,0.0134,0,-1.0609,0.363,0.400
9.242,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.275,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.304,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.332,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.354,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.374,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.391,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.401,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.424,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.455,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.479,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.505,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.523,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.546,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.572,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.599,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.614,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.642,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.664,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
28.689,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
29.723,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
30.756,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
31.764,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
32.786,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
33.812,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
