t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; plan-aware runtime (EDF+Fence+STL),,,,,,,,,,
0.005,start,0,0.000,0.000,17.015,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.016,pose,0,0.380,0.000,17.015,,1,0.0500,0,-1.4700,1,0.0110,0,-1.4700,0.376,0.400
2.040,pose,0,0.760,0.000,17.015,,1,0.0500,0,-1.0900,1,0.0330,0,-1.0900,0.367,0.400
3.070,pose,0,1.140,0.000,17.015,,1,0.0500,0,-0.7100,1,0.0213,0,-0.7100,0.362,0.400
4.089,pose,0,1.520,0.000,17.015,,1,0.0500,0,-0.3300,1,0.0021,0,-0.3300,0.396,0.400
4.995,finish,0,1.860,0.000,17.015,dur=4.99s,1,0.0500,1,0.0100,1,0.0071,1,0.0071,0.393,0.400
5.047,start,1,1.860,0.000,34.015,new goal window,1,0.0500,0,-inf,1,0.0071,0,-inf,0.000,0.400
5.098,pose,1,1.880,-0.001,34.015,,1,0.0500,0,-2.1937,1,0.0058,0,-2.1937,0.394,0.400
6.111,pose,1,2.243,-0.108,34.015,,1,0.0500,0,-1.8207,1,0.0191,0,-1.8207,0.363,0.400
7.142,pose,1,2.586,-0.271,34.015,,1,0.0500,0,-1.4409,1,0.0283,0,-1.4409,0.371,0.400
8.173,pose,1,2.924,-0.444,34.015,,1,0.0500,0,-1.0609,1,0.0275,0,-1.0609,0.369,0.400
9.195,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.220,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.241,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.259,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.281,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.289,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.315,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.331,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.361,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.392,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.410,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.441,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.465,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.495,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.511,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.543,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.564,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
