t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.005,start,0,0.000,0.000,17.016,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.030,pose,0,0.380,0.000,17.016,,1,0.0500,0,-1.4700,1,0.0024,0,-1.4700,0.388,0.400
2.049,pose,0,0.760,0.000,17.016,,1,0.0500,0,-1.0900,1,0.0240,0,-1.0900,0.363,0.400
3.059,pose,0,1.140,0.000,17.016,,1,0.0500,0,-0.7100,1,0.0108,0,-0.7100,0.363,0.400
4.082,pose,0,1.520,0.000,17.016,,1,0.0500,0,-0.3300,1,0.0235,0,-0.3300,0.367,0.400
4.999,finish,0,1.860,0.000,17.016,dur=4.99s,1,0.0500,1,0.0100,1,0.0100,1,0.0100,0.367,0.400
5.055,start,1,1.860,0.000,34.016,new goal window,1,0.0500,0,-inf,1,0.0100,0,-inf,0.000,0.400
5.110,pose,1,1.880,-0.001,34.016,,1,0.0500,0,-2.1937,1,0.0100,0,-2.1937,0.364,0.400
6.123,pose,1,2.243,-0.108,34.016,,1,0.0500,0,-1.8207,1,0.0277,0,-1.8207,0.363,0.400
7.138,pose,1,2.586,-0.271,34.016,,1,0.0500,0,-1.4409,1,0.0036,0,-1.4409,0.363,0.400
8.166,pose,1,2.924,-0.444,34.016,,1,0.0500,0,-1.0609,1,0.0050,0,-1.0609,0.363,0.400
9.187,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.211,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.221,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.241,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.266,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.288,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.292,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.311,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.340,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.368,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.373,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.398,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.424,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.440,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.480,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.499,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.526,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.549,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.574,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
28.608,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
29.628,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
30.649,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
31.675,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
32.707,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
33.733,pose,1,2.995,-0.481,34.016,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.002,miss,1,2.995,-0.481,34.016,deadline,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.002,start,2,2.995,-0.481,54.016,new goal window,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
34.753,pose,2,2.995,-0.481,54.016,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
35.773,pose,2,2.995,-0.481,54.016,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
36.786,pose,2,2.995,-0.481,54.016,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
37.806,pose,2,2.995,-0.481,54.016,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
