t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.013,0.000,0.012,Deviation: 0.012s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.022,pose,A_leg0,0.380,0.000,0.013,0.000,0.012,,1,0.0500,0,-1.4700,1,0.0239,0,-1.4700,0.363,0.400
2.060,pose,A_leg0,0.760,0.000,0.013,0.000,0.012,,1,0.0500,0,-1.0900,1,0.0359,0,-1.0900,0.364,0.400
3.084,pose,A_leg0,1.140,0.000,0.013,0.000,0.012,,1,0.0500,0,-0.7100,1,0.0031,0,-0.7100,0.363,0.400
4.106,pose,A_leg0,1.520,0.000,0.013,0.000,0.012,,1,0.0500,0,-0.3300,1,0.0072,0,-0.3300,0.363,0.400
5.024,task_complete,A_leg0,1.860,0.000,0.013,0.000,0.012,Completed in 5.02s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0061,1,0.0061,0.363,0.400
5.131,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 8.2s until scheduled start,1,0.0500,1,0.0100,1,0.0367,1,0.0100,0.000,0.400
6.161,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.184,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.204,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.238,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 4.1s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.262,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.284,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.317,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.917,task_start,A_leg1,1.860,0.000,13.369,12.917,0.451,Deviation: 0.451s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.350,pose,A_leg1,1.939,-0.013,13.369,12.917,0.451,,1,0.0500,0,-2.1355,1,0.0019,0,-2.1355,0.198,0.200
14.382,pose,A_leg1,2.116,-0.081,13.369,12.917,0.451,,1,0.0500,0,-1.9463,1,0.0098,0,-1.9463,0.182,0.200
15.407,pose,A_leg1,2.288,-0.162,13.369,12.917,0.451,,1,0.0500,0,-1.7563,1,0.0033,0,-1.7563,0.182,0.200
16.434,pose,A_leg1,2.458,-0.246,13.369,12.917,0.451,,1,0.0500,0,-1.5663,1,0.0036,0,-1.5663,0.181,0.200
17.459,pose,A_leg1,2.629,-0.329,13.369,12.917,0.451,,1,0.0500,0,-1.3763,1,0.0004,0,-1.3763,0.200,0.200
18.479,pose,A_leg1,2.800,-0.413,13.369,12.917,0.451,,1,0.0500,0,-1.1863,1,0.0048,0,-1.1863,0.183,0.200
19.510,pose,A_leg1,2.970,-0.496,13.369,12.917,0.451,,1,0.0500,0,-0.9963,1,0.0069,0,-0.9963,0.193,0.200
20.539,pose,A_leg1,3.186,-0.602,13.369,12.917,0.451,,1,0.0500,0,-0.7563,1,0.0087,0,-0.7563,0.272,0.300
21.567,pose,A_leg1,3.442,-0.727,13.369,12.917,0.451,,1,0.0500,0,-0.4713,1,0.0135,0,-0.4713,0.272,0.300
22.596,pose,A_leg1,3.698,-0.852,13.369,12.917,0.451,,1,0.0500,0,-0.1863,1,0.0224,0,-0.1863,0.273,0.300
23.299,task_complete,A_leg1,3.873,-0.938,13.369,12.917,0.451,Completed in 10.38s (scheduled: 14.59s),1,0.0500,1,0.0087,1,0.0099,1,0.0087,0.280,0.300
23.627,waiting,A_leg2,3.873,-0.938,27.961,,,Waiting 4.3s until scheduled start,1,0.0500,1,0.0087,1,0.3000,1,0.0087,0.000,0.300
24.660,waiting,A_leg2,3.873,-0.938,27.961,,,Waiting 3.3s until scheduled start,1,0.0500,1,0.0087,1,0.3000,1,0.0087,0.000,0.300
25.686,waiting,A_leg2,3.873,-0.938,27.961,,,Waiting 2.3s until scheduled start,1,0.0500,1,0.0087,1,0.3000,1,0.0087,0.000,0.300
26.725,waiting,A_leg2,3.873,-0.938,27.961,,,Waiting 1.2s until scheduled start,1,0.0500,1,0.0087,1,0.3000,1,0.0087,0.000,0.300
27.485,task_start,A_leg2,3.873,-0.938,27.961,27.485,0.477,Deviation: 0.477s,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
27.755,pose,A_leg2,3.944,-0.961,27.961,27.485,0.477,,1,0.0500,0,-2.3724,1,0.0092,0,-2.3724,0.272,0.300
28.780,pose,A_leg2,4.217,-0.908,27.961,27.485,0.477,,1,0.0500,0,-2.1214,1,0.0040,0,-2.1214,0.272,0.300
29.808,pose,A_leg2,4.453,-0.747,27.961,27.485,0.477,,1,0.0500,0,-1.8375,1,0.0172,0,-1.8375,0.278,0.300
30.842,pose,A_leg2,4.676,-0.571,27.961,27.485,0.477,,1,0.0500,0,-1.5525,1,0.0214,0,-1.5525,0.272,0.300
31.871,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
32.906,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
33.946,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
34.977,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
36.009,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
37.039,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
38.063,pose,A_leg2,4.758,-0.505,27.961,27.485,0.477,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
