t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.005,start,0,0.000,0.000,17.015,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.023,pose,0,0.380,0.000,17.015,,1,0.0500,0,-1.4700,1,0.0075,0,-1.4700,0.393,0.400
2.057,pose,0,0.760,0.000,17.015,,1,0.0500,0,-1.0900,1,0.0180,0,-1.0900,0.365,0.400
3.065,pose,0,1.140,0.000,17.015,,1,0.0500,0,-0.7100,1,0.0010,0,-0.7100,0.399,0.400
4.089,pose,0,1.520,0.000,17.015,,1,0.0500,0,-0.3300,1,0.0085,0,-0.3300,0.368,0.400
5.009,finish,0,1.860,0.000,17.015,dur=5.00s,1,0.0500,1,0.0100,1,0.0225,1,0.0100,0.363,0.400
5.060,start,1,1.860,0.000,34.015,new goal window,1,0.0500,0,-inf,1,0.0277,0,-inf,0.000,0.400
5.114,pose,1,1.880,-0.001,34.015,,1,0.0500,0,-2.1937,1,0.0303,0,-2.1937,0.370,0.400
6.134,pose,1,2.243,-0.108,34.015,,1,0.0500,0,-1.8207,1,0.0334,0,-1.8207,0.363,0.400
7.148,pose,1,2.586,-0.271,34.015,,1,0.0500,0,-1.4409,1,0.0219,0,-1.4409,0.363,0.400
8.169,pose,1,2.924,-0.444,34.015,,1,0.0500,0,-1.0609,1,0.0132,0,-1.0609,0.387,0.400
9.185,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.202,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.211,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.228,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.249,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.265,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.289,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.298,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.313,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.341,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.370,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.386,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.411,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.441,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.441,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.462,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.480,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.496,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.519,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
28.551,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
29.570,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
30.593,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
31.613,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
32.637,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
33.657,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.022,miss,1,2.995,-0.481,34.015,deadline,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.022,start,2,2.995,-0.481,54.015,new goal window,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
34.659,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
35.672,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
36.692,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
37.725,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
38.744,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
39.767,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
40.787,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
41.818,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
42.843,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
43.864,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
44.893,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
45.920,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
46.959,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
47.984,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
49.011,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
50.026,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
51.059,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
52.080,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
53.100,pose,2,2.995,-0.481,54.015,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.017,miss,2,2.995,-0.481,54.015,deadline,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
