t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; plan-aware runtime (EDF+Fence+STL),,,,,,,,,,
0.005,start,0,0.000,0.000,17.013,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.031,pose,0,0.380,0.000,17.013,,1,0.0500,0,-1.4700,1,0.0165,0,-1.4700,0.384,0.400
2.052,pose,0,0.760,0.000,17.013,,1,0.0500,0,-1.0900,1,0.0025,0,-1.0900,0.397,0.400
3.078,pose,0,1.140,0.000,17.013,,1,0.0500,0,-0.7100,1,0.0351,0,-0.7100,0.363,0.400
4.111,pose,0,1.520,0.000,17.013,,1,0.0500,0,-0.3300,1,0.0265,0,-0.3300,0.369,0.400
5.032,finish,0,1.860,0.000,17.013,dur=5.03s,1,0.0500,1,0.0100,1,0.0032,1,0.0032,0.363,0.400
5.087,start,1,1.860,0.000,34.013,new goal window,1,0.0500,0,-inf,1,0.0130,0,-inf,0.000,0.400
5.142,pose,1,1.880,-0.001,34.013,,1,0.0500,0,-2.1937,1,0.0130,0,-2.1937,0.363,0.400
6.174,pose,1,2.243,-0.108,34.013,,1,0.0500,0,-1.8207,1,0.0092,0,-1.8207,0.363,0.400
7.195,pose,1,2.586,-0.271,34.013,,1,0.0500,0,-1.4409,1,0.0239,0,-1.4409,0.376,0.400
8.218,pose,1,2.924,-0.444,34.013,,1,0.0500,0,-1.0609,1,0.0097,0,-1.0609,0.390,0.400
9.240,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.266,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.292,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.311,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.327,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.352,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.368,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.386,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.404,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.426,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.450,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.461,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.476,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.490,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.524,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.537,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.543,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.567,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.598,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
28.618,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
29.672,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
30.696,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
31.706,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
32.725,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
33.752,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.010,miss,1,2.995,-0.481,34.013,deadline,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
34.010,start,2,2.995,-0.481,54.013,new goal window,1,0.0500,0,-inf,1,0.3000,0,-inf,0.000,0.300
34.762,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
35.789,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
36.816,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
37.831,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
38.857,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
39.888,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
40.912,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
41.931,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
42.957,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
43.979,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
45.006,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
46.026,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
47.055,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
48.071,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
49.100,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
50.127,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
51.144,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
52.179,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
53.204,pose,2,2.995,-0.481,54.013,HCD: prevent entering A,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.009,miss,2,2.995,-0.481,54.013,deadline,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.009,idle,,2.995,-0.481,,,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,0.000,0.300
54.009,end,,,,,all done,1,0.0500,0,-3.0107,1,0.3000,0,-3.0107,,
