t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.014,0.000,0.014,Deviation: 0.014s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.031,pose,A_leg0,0.380,0.000,0.014,0.000,0.014,,1,0.0500,0,-1.4700,1,0.0124,0,-1.4700,0.379,0.400
2.053,pose,A_leg0,0.760,0.000,0.014,0.000,0.014,,1,0.0500,0,-1.0900,1,0.0050,0,-1.0900,0.395,0.400
3.071,pose,A_leg0,1.140,0.000,0.014,0.000,0.014,,1,0.0500,0,-0.7100,1,0.0174,0,-0.7100,0.383,0.400
4.109,pose,A_leg0,1.520,0.000,0.014,0.000,0.014,,1,0.0500,0,-0.3300,1,0.0370,0,-0.3300,0.363,0.400
5.018,task_complete,A_leg0,1.860,0.000,0.014,0.000,0.014,Completed in 5.02s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0194,1,0.0100,0.363,0.400
5.127,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 8.2s until scheduled start,1,0.0500,1,0.0100,1,0.0201,1,0.0100,0.000,0.400
6.147,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.180,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.205,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.234,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 4.1s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.259,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 3.1s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.282,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.306,waiting,A_leg1,1.860,0.000,13.370,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
