t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
35.918,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
36.951,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
37.981,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
39.012,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
40.041,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
41.074,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
42.102,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
43.141,pose,A_leg2,4.758,-0.505,27.962,27.496,0.466,FENCE: blocked entry to danger zone,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
44.164,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 0.23s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
45.191,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 1.25s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
46.214,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 2.28s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
47.249,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 3.31s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
48.281,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 4.34s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
49.300,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 5.36s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
50.329,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 6.39s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
