t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.005,start,0,0.000,0.000,17.015,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.032,pose,0,0.380,0.000,17.015,,1,0.0500,0,-1.4700,1,0.0082,0,-1.4700,0.363,0.400
2.052,pose,0,0.760,0.000,17.015,,1,0.0500,0,-1.0900,1,0.0035,0,-1.0900,0.363,0.400
3.083,pose,0,1.140,0.000,17.015,,1,0.0500,0,-0.7100,1,0.0244,0,-0.7100,0.363,0.400
4.112,pose,0,1.520,0.000,17.015,,1,0.0500,0,-0.3300,1,0.0192,0,-0.3300,0.369,0.400
5.021,finish,0,1.860,0.000,17.015,dur=5.02s,1,0.0500,1,0.0100,1,0.0026,1,0.0026,0.376,0.400
5.076,start,1,1.860,0.000,34.015,new goal window,1,0.0500,0,-inf,1,0.0026,0,-inf,0.000,0.400
5.131,pose,1,1.880,-0.001,34.015,,1,0.0500,0,-2.1937,1,0.0026,0,-2.1937,0.362,0.400
6.151,pose,1,2.243,-0.108,34.015,,1,0.0500,0,-1.8207,1,0.0088,0,-1.8207,0.375,0.400
7.179,pose,1,2.586,-0.271,34.015,,1,0.0500,0,-1.4409,1,0.0309,0,-1.4409,0.367,0.400
8.209,pose,1,2.924,-0.444,34.015,,1,0.0500,0,-1.0609,1,0.0125,0,-1.0609,0.362,0.400
9.243,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.266,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.299,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.327,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.355,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.385,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.420,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.446,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.465,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.492,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
19.532,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
20.558,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
21.582,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
22.605,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
23.619,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
24.644,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
25.675,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
26.707,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.733,pose,1,2.995,-0.481,34.015,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,0.000,0.300
27.791,end,,,,,all done,1,0.0500,0,-0.9809,1,0.3000,0,-0.9809,,
