t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; plan-aware runtime (EDF+Fence+STL),,,,,,,,,,
0.005,start,0,0.000,0.000,17.022,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.032,pose,0,0.380,0.000,17.022,,1,0.0500,0,-1.4700,1,0.0246,0,-1.4700,0.372,0.400
2.059,pose,0,0.760,0.000,17.022,,1,0.0500,0,-1.0900,1,0.0181,0,-1.0900,0.363,0.400
3.086,pose,0,1.140,0.000,17.022,,1,0.0500,0,-0.7100,1,0.0314,0,-0.7100,0.363,0.400
4.105,pose,0,1.520,0.000,17.022,,1,0.0500,0,-0.3300,1,0.0119,0,-0.3300,0.363,0.400
5.015,finish,0,1.860,0.000,17.022,dur=5.01s,1,0.0500,1,0.0100,1,0.0047,1,0.0047,0.371,0.400
5.069,start,1,1.860,0.000,34.022,new goal window,1,0.0500,0,-inf,1,0.0047,0,-inf,0.000,0.400
5.069,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.08s),1,0.0500,0,-inf,1,0.0047,0,-inf,0.000,0.400
5.123,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.13s),1,0.0500,0,-2.2121,1,0.0047,0,-2.2121,0.000,0.400
5.178,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.19s),1,0.0500,0,-2.2121,1,0.0047,0,-2.2121,0.000,0.400
5.232,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.24s),1,0.0500,0,-2.2121,1,0.0293,0,-2.2121,0.000,0.400
5.288,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.30s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
5.341,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.35s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
5.394,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.40s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
5.448,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.46s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
5.503,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.51s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
5.554,pose,1,1.860,0.000,34.022,plan-hold B_leg1 until 43.42s (now=5.56s),1,0.0500,0,-2.2121,1,0.4000,0,-2.2121,0.000,0.400
